Symbols,Date,Adj Close,Close,High,Low,Open,Volume
CDX,2022-02-17,24.821434020996094,25.089000701904297,25.270000457763672,25.059999465942383,25.270000457763672,146800.0
CDX,2022-02-18,24.889699935913086,25.158000946044922,25.209999084472656,25.06999969482422,25.079999923706055,3100.0
CDX,2022-02-22,24.82242202758789,25.09000015258789,25.209999084472656,25.040000915527344,25.209999084472656,2000.0
CDX,2022-02-23,24.73338508605957,25.0,25.15999984741211,25.0,25.059999465942383,1300.0
CDX,2022-02-24,24.870901107788086,25.138999938964844,25.219999313354492,25.059999465942383,25.219999313354492,1400.0
CDX,2022-02-25,25.01039695739746,25.280000686645508,25.299999237060547,25.1299991607666,25.1299991607666,152000.0
CDX,2022-02-28,24.966867446899414,25.236000061035156,25.290000915527344,25.187999725341797,25.187999725341797,150300.0
CDX,2022-03-01,24.98665428161621,25.256000518798828,25.34000015258789,25.256000518798828,25.34000015258789,172800.0
CDX,2022-03-02,25.015344619750977,25.28499984741211,25.329999923706055,25.28499984741211,25.329999923706055,300.0
CDX,2022-03-03,24.98665428161621,25.256000518798828,25.399999618530273,25.256000518798828,25.399999618530273,141500.0
CDX,2022-03-04,24.93619728088379,25.204999923706055,25.229999542236328,25.15999984741211,25.15999984741211,1100.0
CDX,2022-03-07,24.773944854736328,25.041000366210938,25.149999618530273,25.041000366210938,25.079999923706055,12800.0
CDX,2022-03-08,24.523645401000977,24.788000106811523,25.010000228881836,24.729999542236328,25.010000228881836,5800.0
CDX,2022-03-09,24.60477066040039,24.8700008392334,24.885000228881836,24.799999237060547,24.799999237060547,600.0
CDX,2022-03-10,24.387117385864258,24.649999618530273,24.690000534057617,24.625,24.65999984741211,6800.0
CDX,2022-03-11,24.27631187438965,24.538000106811523,24.614999771118164,24.538000106811523,24.597000122070312,3700.0
CDX,2022-03-14,24.15363311767578,24.413999557495117,24.56999969482422,24.413999557495117,24.559999465942383,3700.0
CDX,2022-03-15,24.278289794921875,24.540000915527344,24.56999969482422,24.450000762939453,24.56999969482422,5700.0
CDX,2022-03-16,24.41382598876953,24.677000045776367,24.850000381469727,24.47800064086914,24.709999084472656,44200.0
CDX,2022-03-17,24.51869773864746,24.783000946044922,24.783000946044922,24.68000030517578,24.68000030517578,2500.0
CDX,2022-03-18,24.53551483154297,24.799999237060547,24.860000610351562,24.729999542236328,24.729999542236328,3700.0
CDX,2022-03-21,24.406904220581055,24.670000076293945,24.889999389648438,24.610000610351562,24.8799991607666,1700.0
CDX,2022-03-22,24.387117385864258,24.649999618530273,24.670000076293945,24.56999969482422,24.600000381469727,1600.0
CDX,2022-03-23,24.27334213256836,24.53499984741211,24.6200008392334,24.53499984741211,24.559999465942383,600.0
CDX,2022-03-24,24.25850486755371,24.520000457763672,24.520000457763672,24.469999313354492,24.5,1400.0
CDX,2022-03-25,24.040849685668945,24.299999237060547,24.469999313354492,24.299999237060547,24.469999313354492,7800.0
CDX,2022-03-28,24.192607879638672,24.389999389648438,24.389999389648438,24.31999969482422,24.31999969482422,500.0
CDX,2022-03-29,24.619129180908203,24.81999969482422,24.81999969482422,24.540000915527344,24.540000915527344,3700.0
CDX,2022-03-30,24.559616088867188,24.760000228881836,24.760000228881836,24.690000534057617,24.700000762939453,8500.0
CDX,2022-03-31,24.43265151977539,24.631999969482422,24.707000732421875,24.631999969482422,24.707000732421875,500.0
CDX,2022-04-01,24.42074966430664,24.6200008392334,24.6200008392334,24.6200008392334,24.6200008392334,300.0
CDX,2022-04-04,24.548704147338867,24.749000549316406,24.770000457763672,24.65999984741211,24.700000762939453,4000.0
CDX,2022-04-05,24.3909912109375,24.59000015258789,24.670000076293945,24.59000015258789,24.670000076293945,300.0
CDX,2022-04-06,24.32155990600586,24.520000457763672,24.540000915527344,24.520000457763672,24.540000915527344,500.0
CDX,2022-04-07,24.278905868530273,24.476999282836914,24.55500030517578,24.476999282836914,24.55500030517578,100.0
CDX,2022-04-08,24.11226463317871,24.30900001525879,24.30900001525879,24.30900001525879,24.30900001525879,100.0
CDX,2022-04-11,23.951576232910156,24.14699935913086,24.219999313354492,24.14699935913086,24.219999313354492,900.0
CDX,2022-04-12,24.00613021850586,24.20199966430664,24.20199966430664,24.20199966430664,24.20199966430664,100.0
CDX,2022-04-13,24.10333824157715,24.299999237060547,24.299999237060547,24.25,24.270000457763672,2200.0
CDX,2022-04-14,23.87321662902832,24.06800079345703,24.309999465942383,24.06800079345703,24.309999465942383,5000.0
CDX,2022-04-18,23.831554412841797,24.025999069213867,24.049999237060547,24.020000457763672,24.049999237060547,3100.0
CDX,2022-04-19,23.865280151367188,24.059999465942383,24.059999465942383,24.030000686645508,24.040000915527344,4500.0
CDX,2022-04-20,23.970422744750977,24.166000366210938,24.166000366210938,24.100000381469727,24.100000381469727,200.0
CDX,2022-04-21,23.836515426635742,24.0310001373291,24.0310001373291,24.0,24.02400016784668,1900.0
CDX,2022-04-22,23.6807861328125,23.874000549316406,24.0,23.8700008392334,24.0,4300.0
CDX,2022-04-25,23.895036697387695,24.09000015258789,24.100000381469727,23.809999465942383,23.8700008392334,6600.0
CDX,2022-04-26,23.794483184814453,23.899999618530273,23.920000076293945,23.884000778198242,23.90999984741211,2700.0
CDX,2022-04-27,23.636184692382812,23.740999221801758,24.579999923706055,23.709999084472656,24.579999923706055,27700.0
CDX,2022-04-28,23.854217529296875,23.959999084472656,23.959999084472656,23.93000030517578,23.93000030517578,500.0
CDX,2022-04-29,23.47589683532715,23.579999923706055,23.6299991607666,23.549999237060547,23.6200008392334,4700.0
CDX,2022-05-02,23.3066463470459,23.40999984741211,23.969999313354492,23.40999984741211,23.969999313354492,2600.0
CDX,2022-05-03,23.361404418945312,23.46500015258789,23.510000228881836,23.441999435424805,23.441999435424805,13700.0
CDX,2022-05-04,23.66904067993164,23.77400016784668,23.84000015258789,23.520000457763672,23.520000457763672,900.0
CDX,2022-05-05,23.32655906677246,23.43000030517578,23.43000030517578,23.3700008392334,23.3700008392334,2700.0
CDX,2022-05-06,23.226999282836914,23.329999923706055,23.329999923706055,23.225000381469727,23.260000228881836,2300.0
CDX,2022-05-09,23.15730857849121,23.260000228881836,23.280000686645508,23.179000854492188,23.179000854492188,35000.0
CDX,2022-05-10,23.13341522216797,23.236000061035156,23.236000061035156,23.236000061035156,23.236000061035156,100.0
CDX,2022-05-11,23.167264938354492,23.270000457763672,23.270000457763672,23.270000457763672,23.270000457763672,200.0
CDX,2022-05-12,22.981090545654297,23.08300018310547,23.170000076293945,23.030000686645508,23.170000076293945,25500.0
CDX,2022-05-13,22.978103637695312,23.079999923706055,23.1299991607666,23.020000457763672,23.020000457763672,26800.0
CDX,2022-05-16,22.941267013549805,23.042999267578125,23.100000381469727,23.042999267578125,23.100000381469727,400.0
CDX,2022-05-17,22.80686378479004,22.908000946044922,22.969999313354492,22.908000946044922,22.950000762939453,7800.0
CDX,2022-05-18,22.759075164794922,22.860000610351562,23.239999771118164,22.809999465942383,22.809999465942383,43900.0
CDX,2022-05-19,22.823787689208984,22.924999237060547,22.93000030517578,22.783000946044922,22.84000015258789,700.0
CDX,2022-05-20,22.888500213623047,22.989999771118164,22.989999771118164,22.90999984741211,22.920000076293945,80900.0
CDX,2022-05-23,22.95819091796875,23.059999465942383,23.059999465942383,23.030000686645508,23.049999237060547,3700.0
